city,year,humidity
Lai Châu,2006,78.0
Lai Châu,2007,81.0
Lai Châu,2008,83.8
Lai Châu,2009,80.1
Lai Châu,2010,79.2
Lai Châu,2011,82.3
Lai Châu,2012,83.2
Lai Châu,2013,83.0
Lai Châu,2014,79.6
Lai Châu,2015,80.5
Lai Châu,2016,81.5
Lai Châu,2017,84.3
Lai Châu,2018,85.2
Lai Châu,2019,82.1
Sơn La,2006,80.0
Sơn La,2007,80.0
Sơn La,2008,82.8
Sơn La,2009,77.9
Sơn La,2010,78.3
Sơn La,2011,81.2
Sơn La,2012,80.2
Sơn La,2013,80.0
Sơn La,2014,79.8
Sơn La,2015,78.7
Sơn La,2016,78.8
Sơn La,2017,78.8
Sơn La,2018,79.3
Sơn La,2019,77.0
Tuyên Quang,2006,83.0
Tuyên Quang,2007,82.0
Tuyên Quang,2008,82.2
Tuyên Quang,2009,80.3
Tuyên Quang,2010,79.5
Tuyên Quang,2011,81.9
Tuyên Quang,2012,82.1
Tuyên Quang,2013,81.0
Tuyên Quang,2014,81.7
Tuyên Quang,2015,80.3
Tuyên Quang,2016,79.8
Tuyên Quang,2017,81.5
Tuyên Quang,2018,80.9
Tuyên Quang,2019,81.9
Hà Nội,2006,78.0
Hà Nội,2007,78.0
Hà Nội,2008,79.3
Hà Nội,2009,76.9
Hà Nội,2010,77.7
Hà Nội,2011,77.3
Hà Nội,2012,78.5
Hà Nội,2013,78.0
Hà Nội,2014,78.5
Hà Nội,2015,78.3
Hà Nội,2016,73.9
Hà Nội,2017,76.6
Hà Nội,2018,75.0
Hà Nội,2019,75.3
Bãi Cháy,2006,82.0
Bãi Cháy,2007,80.0
Bãi Cháy,2008,80.8
Bãi Cháy,2009,81.0
Bãi Cháy,2010,82.3
Bãi Cháy,2011,82.1
Bãi Cháy,2012,84.2
Bãi Cháy,2013,83.0
Bãi Cháy,2014,81.9
Bãi Cháy,2015,82.8
Bãi Cháy,2016,81.7
Bãi Cháy,2017,81.8
Bãi Cháy,2018,82.5
Bãi Cháy,2019,82.8
Nam Định,2006,83.0
Nam Định,2007,82.0
Nam Định,2008,83.6
Nam Định,2009,82.9
Nam Định,2010,83.0
Nam Định,2011,81.1
Nam Định,2012,84.7
Nam Định,2013,84.0
Nam Định,2014,83.6
Nam Định,2015,82.2
Nam Định,2016,80.7
Nam Định,2017,82.8
Nam Định,2018,82.4
Nam Định,2019,82.7
Vinh,2006,83.0
Vinh,2007,82.0
Vinh,2008,81.9
Vinh,2009,81.3
Vinh,2010,81.7
Vinh,2011,83.0
Vinh,2012,82.3
Vinh,2013,84.0
Vinh,2014,83.3
Vinh,2015,81.8
Vinh,2016,81.8
Vinh,2017,83.6
Vinh,2018,82.1
Vinh,2019,81.3
Huế,2006,85.0
Huế,2007,87.0
Huế,2008,87.6
Huế,2009,87.2
Huế,2010,87.1
Huế,2011,87.8
Huế,2012,85.0
Huế,2013,87.0
Huế,2014,85.4
Huế,2015,85.4
Huế,2016,86.8
Huế,2017,88.4
Huế,2018,86.3
Huế,2019,84.9
Đà Nẵng,2006,81.0
Đà Nẵng,2007,82.0
Đà Nẵng,2008,82.0
Đà Nẵng,2009,81.0
Đà Nẵng,2010,82.4
Đà Nẵng,2011,80.8
Đà Nẵng,2012,79.9
Đà Nẵng,2013,81.0
Đà Nẵng,2014,80.6
Đà Nẵng,2015,80.7
Đà Nẵng,2016,80.6
Đà Nẵng,2017,81.8
Đà Nẵng,2018,79.1
Đà Nẵng,2019,78.1
Qui Nhơn,2006,77.0
Qui Nhơn,2007,79.0
Qui Nhơn,2008,78.7
Qui Nhơn,2009,77.7
Qui Nhơn,2010,80.8
Qui Nhơn,2011,76.4
Qui Nhơn,2012,75.2
Qui Nhơn,2013,79.0
Qui Nhơn,2014,77.5
Qui Nhơn,2015,80.0
Qui Nhơn,2016,80.4
Qui Nhơn,2017,79.6
Qui Nhơn,2018,76.8
Qui Nhơn,2019,76.4
Pleiku,2006,83.0
Pleiku,2007,83.0
Pleiku,2008,83.5
Pleiku,2009,83.2
Pleiku,2010,83.0
Pleiku,2011,82.0
Pleiku,2012,80.8
Pleiku,2013,80.0
Pleiku,2014,80.2
Pleiku,2015,80.1
Pleiku,2016,81.2
Pleiku,2017,82.5
Pleiku,2018,81.6
Pleiku,2019,81.1
Đà Lạt,2006,87.0
Đà Lạt,2007,86.0
Đà Lạt,2008,86.8
Đà Lạt,2009,85.8
Đà Lạt,2010,85.8
Đà Lạt,2011,84.3
Đà Lạt,2012,83.8
Đà Lạt,2013,84.0
Đà Lạt,2014,85.8
Đà Lạt,2015,84.0
Đà Lạt,2016,84.7
Đà Lạt,2017,86.0
Đà Lạt,2018,84.2
Đà Lạt,2019,82.8
Nha Trang,2006,78.0
Nha Trang,2007,80.0
Nha Trang,2008,80.3
Nha Trang,2009,79.9
Nha Trang,2010,79.2
Nha Trang,2011,77.6
Nha Trang,2012,78.5
Nha Trang,2013,78.0
Nha Trang,2014,76.9
Nha Trang,2015,77.0
Nha Trang,2016,79.4
Nha Trang,2017,80.0
Nha Trang,2018,78.0
Nha Trang,2019,76.1
Vũng Tàu,2006,77.0
Vũng Tàu,2007,78.0
Vũng Tàu,2008,77.8
Vũng Tàu,2009,79.6
Vũng Tàu,2010,81.8
Vũng Tàu,2011,79.1
Vũng Tàu,2012,78.2
Vũng Tàu,2013,78.0
Vũng Tàu,2014,77.6
Vũng Tàu,2015,76.8
Vũng Tàu,2016,78.5
Vũng Tàu,2017,78.5
Vũng Tàu,2018,78.0
Vũng Tàu,2019,76.8
Cà Mau,2006,83.0
Cà Mau,2007,83.0
Cà Mau,2008,83.2
Cà Mau,2009,82.3
Cà Mau,2010,84.0
Cà Mau,2011,79.5
Cà Mau,2012,81.3
Cà Mau,2013,81.0
Cà Mau,2014,81.0
Cà Mau,2015,80.0
Cà Mau,2016,80.6
Cà Mau,2017,80.8
Cà Mau,2018,80.7
Cà Mau,2019,80.8
